userID,use_extension_round_1,use_extension_round_2
89Ape,True,FALSE
12Yak,True,FALSE
9Ape,False,TRUE
Hen96,True,FALSE
42Yak,True,FALSE
55Pur,False,TRUE
90Lime,False,TRUE
Gray79,True,FALSE
85Blu,False,TRUE
95Ant,False,TRUE
Bee7,True,FALSE
5Blu,True,FALSE
Cow70,True,FALSE
Cub37,False,TRUE
87Navy,True,FALSE
Hen9,True,FALSE
49Fox,False,TRUE
30Tan,True,FALSE
67Pnk,False,TRUE
17Grn,True,FALSE
Cyn60,False,TRUE
70Blu,True,FALSE
Ant88,True,FALSE
Owl67,False,TRUE
38Bat,True,FALSE
Ram23,False,TRUE
29Pur,True,FALSE
Cow96,False,TRUE
Pur4,True,FALSE
48Yel,False,TRUE
49Blk,True,FALSE
70Dog,False,TRUE
Ram76,True,FALSE
17Bug,True,FALSE
Ape4,False,TRUE
40Lav,False,TRUE
Blu64,True,FALSE
33Dog,False,TRUE
96Ram,True,FALSE
70Elk,False,TRUE
Ant85,True,FALSE
63Blk,True,FALSE
Owl12,False,TRUE
54Cow,False,TRUE
28Hen,True,FALSE
2Bat,True,FALSE
88Tan,True,FALSE
61Cod,True,FALSE
46Cub,False,TRUE
Ram52,False,TRUE
Lav89,True,FALSE
50Fox,False,TRUE
Owl81,True,FALSE
52Blu,True,FALSE
39Yak,True,FALSE