ID,userID,use_extension_round_1,use_extension_round_2
440,89Ape,TRUE,FALSE
441,12Yak,TRUE,FALSE
442,9Ape,FALSE,TRUE
443,Hen96,TRUE,FALSE
444,42Yak,TRUE,FALSE
445,55Pur,FALSE,TRUE
446,90Lime,FALSE,TRUE
447,Gray79,TRUE,FALSE
448,85Blu,FALSE,TRUE
NA,95Ant,FALSE,TRUE
450,Bee7,TRUE,FALSE
NA,5Blu,TRUE,FALSE
NA,Cow70,TRUE,FALSE
NA,Cub37,FALSE,TRUE
454,87Navy,TRUE,FALSE
455,Hen9,TRUE,FALSE
456,49Fox,FALSE,TRUE
457,30Tan,TRUE,FALSE
458,67Pnk,FALSE,TRUE
459,17Grn,TRUE,FALSE
NA,Cyn60,FALSE,TRUE
NA,70Blu,TRUE,FALSE
462,Ant88,TRUE,FALSE
463,Owl67,FALSE,TRUE
NA,38Bat,TRUE,FALSE
465,Ram23,FALSE,TRUE
478,29Pur,TRUE,FALSE
NA,Cow96,FALSE,TRUE
466,Pur4,TRUE,FALSE
NA,48Yel,FALSE,TRUE
468,49Blk,TRUE,FALSE
NA,70Dog,FALSE,TRUE
470,Ram76,TRUE,FALSE
NA,17Bug,TRUE,FALSE
NA,Ape4,FALSE,TRUE
NA,40Lav,FALSE,TRUE
474,Blu64,TRUE,FALSE
475,33Dog,FALSE,TRUE
476,96Ram,TRUE,FALSE
477,70Elk,FALSE,TRUE
479,Ant85,TRUE,FALSE
480,63Blk,TRUE,FALSE
NA,Owl12,FALSE,TRUE
483,54Cow,FALSE,TRUE
484,28Hen,TRUE,FALSE
NA,2Bat,TRUE,FALSE
488,88Tan,TRUE,FALSE
489,61Cod,TRUE,FALSE
490,46Cub,FALSE,TRUE
491,Ram52,FALSE,TRUE
492,Lav89,TRUE,FALSE
493,50Fox,FALSE,TRUE
NA,Owl81,TRUE,FALSE
NA,52Blu,TRUE,FALSE
NA,39Yak,TRUE,FALSE